epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 11287.000000, 2064.000000, 5852.467836, 1701.330588
2, 11319.000000, 2856.000000, 6051.661972, 1548.723354
3, 10197.000000, 3493.000000, 6535.774648, 1335.559927
4, 10607.000000, 3654.000000, 6085.760563, 1600.006611
5, 14542.000000, 2509.000000, 6169.619718, 1842.726515
6, 13095.000000, 3611.000000, 6897.070423, 1651.654524
7, 9557.000000, 3065.000000, 6789.056338, 1330.071597
8, 11637.000000, 2500.000000, 6973.718310, 1545.547829
9, 17736.000000, 2520.000000, 8104.472222, 2186.249248
10, 12948.000000, 2408.000000, 6663.408451, 2754.507649
11, 16192.000000, 2445.000000, 9816.136986, 2565.647375
12, 42647.000000, 2928.000000, 12292.386667, 4706.186848
13, 32778.000000, 7553.000000, 14902.466667, 3083.285961
14, 22602.000000, 7055.000000, 15040.597826, 3310.956679
15, 31832.000000, 3919.000000, 15709.053191, 4463.670066
16, 26422.000000, 5992.000000, 16107.700000, 3633.591079
17, 43954.000000, 8494.000000, 17448.484848, 5045.546087
18, 46305.000000, 4710.000000, 17539.505051, 5058.691063
19, 28973.000000, 9593.000000, 18040.940000, 3764.936969
20, 42550.000000, 8770.000000, 19025.969388, 4379.295369
21, 60992.000000, 10558.000000, 19246.515152, 5813.761483
22, 47409.000000, 8199.000000, 19304.950000, 4991.112591
23, 30836.000000, 10350.000000, 19465.444444, 3522.614698
24, 44636.000000, 10631.000000, 19232.780000, 4465.794238
25, 38890.000000, 11641.000000, 20412.090000, 4227.251430
26, 53237.000000, 8289.000000, 19881.820000, 5912.801582
27, 48072.000000, 9353.000000, 19994.140000, 4841.071617
28, 32819.000000, 7649.000000, 20539.130000, 4349.480258
29, 32523.000000, 10040.000000, 20039.770000, 3992.024258
30, 31615.000000, 10470.000000, 20466.770000, 3851.900449
31, 31273.000000, 11254.000000, 20099.320000, 3423.855461
32, 33980.000000, 3854.000000, 19666.121212, 4555.229931
33, 43452.000000, 10974.000000, 20107.490000, 4631.544703
34, 61819.000000, 9817.000000, 20716.040000, 6238.697149
35, 44647.000000, 9986.000000, 20093.920000, 4367.539572
36, 44716.000000, 10698.000000, 20137.270000, 5423.294863
37, 39460.000000, 9506.000000, 20589.250000, 4498.790260
38, 36415.000000, 3700.000000, 19438.515152, 4894.641248
39, 51593.000000, 3869.000000, 19660.151515, 5795.832548
