epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4.000000, 3.000000, 3.035088, 0.184542
2, 4.000000, 3.000000, 3.098592, 0.300235
3, 4.000000, 3.000000, 3.098592, 0.300235
4, 4.000000, 3.000000, 3.112676, 0.318447
5, 4.000000, 3.000000, 3.056338, 0.232214
6, 4.000000, 3.000000, 3.112676, 0.318447
7, 4.000000, 3.000000, 3.126761, 0.335073
8, 5.000000, 3.000000, 3.169014, 0.413553
9, 6.000000, 3.000000, 3.750000, 1.058167
10, 5.000000, 3.000000, 3.718310, 0.913128
11, 6.000000, 3.000000, 4.643836, 1.018848
12, 7.000000, 3.000000, 6.026667, 0.752892
13, 8.000000, 3.000000, 7.133333, 0.690221
14, 9.000000, 3.000000, 7.250000, 1.371812
15, 10.000000, 3.000000, 7.755319, 1.507588
16, 10.000000, 3.000000, 8.070000, 1.208179
17, 10.000000, 4.000000, 8.323232, 1.210737
18, 10.000000, 4.000000, 8.525253, 1.272499
19, 10.000000, 4.000000, 9.000000, 1.073087
20, 10.000000, 4.000000, 9.142857, 1.112256
21, 10.000000, 4.000000, 9.222222, 1.111678
22, 10.000000, 4.000000, 9.370000, 1.041124
23, 10.000000, 5.000000, 9.656566, 0.687522
24, 10.000000, 5.000000, 9.630000, 0.906263
25, 10.000000, 5.000000, 9.740000, 0.799242
26, 10.000000, 5.000000, 9.670000, 0.943398
27, 10.000000, 5.000000, 9.760000, 0.865967
28, 10.000000, 6.000000, 9.820000, 0.641652
29, 10.000000, 6.000000, 9.840000, 0.598314
30, 10.000000, 6.000000, 9.880000, 0.590839
31, 10.000000, 6.000000, 9.880000, 0.537108
32, 10.000000, 6.000000, 9.868687, 0.600110
33, 10.000000, 6.000000, 9.880000, 0.590839
34, 10.000000, 7.000000, 9.840000, 0.598314
35, 10.000000, 8.000000, 9.900000, 0.333333
36, 10.000000, 9.000000, 9.910000, 0.287623
37, 10.000000, 9.000000, 9.890000, 0.314466
38, 10.000000, 9.000000, 9.888889, 0.315869
39, 10.000000, 9.000000, 9.898990, 0.302876
