epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4439.000000, 532.000000, 1439.260638, 622.406956
2, 3127.000000, 631.000000, 1561.821918, 511.709508
3, 3353.000000, 1026.000000, 1777.486111, 494.454629
4, 2466.000000, 784.000000, 1674.958904, 290.148450
5, 3726.000000, 854.000000, 1837.763889, 474.117668
6, 3196.000000, 957.000000, 1798.054054, 469.403203
7, 3344.000000, 898.000000, 2391.220779, 452.423638
8, 4363.000000, 977.000000, 2006.337838, 686.334163
9, 3119.000000, 771.000000, 1777.973684, 498.641567
10, 3268.000000, 792.000000, 1864.185185, 462.194470
11, 3189.000000, 878.000000, 2056.346154, 393.442444
