epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 3.000000, 4.010638, 0.145865
2, 5.000000, 4.000000, 4.013699, 0.117041
3, 5.000000, 4.000000, 4.055556, 0.230669
4, 6.000000, 4.000000, 4.684932, 0.598069
5, 6.000000, 4.000000, 4.208333, 0.472855
6, 6.000000, 4.000000, 4.216216, 0.503964
7, 6.000000, 4.000000, 5.064935, 0.296367
8, 6.000000, 4.000000, 4.594595, 0.617528
9, 6.000000, 4.000000, 4.421053, 0.548043
10, 7.000000, 4.000000, 4.962963, 0.600925
11, 7.000000, 4.000000, 5.358974, 0.837038
