epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 3.333333, 0.000000, 0.257092, 0.716151
2, 5.000000, 0.000000, 1.050228, 1.346774
3, 6.666667, 0.000000, 1.759259, 1.810439
4, 6.666667, 0.000000, 1.598174, 1.722185
5, 13.333333, 0.000000, 1.990741, 2.416669
6, 10.000000, 0.000000, 2.117117, 2.361817
7, 6.666667, 0.000000, 1.839827, 1.845344
8, 11.666667, 0.000000, 1.531532, 2.041367
9, 11.666667, 0.000000, 2.456140, 2.987303
10, 10.000000, 0.000000, 2.633745, 3.105374
11, 11.666667, 0.000000, 3.183761, 3.247664
