epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 3.000000, 4.017045, 0.168164
2, 5.000000, 3.000000, 3.875000, 0.372940
3, 5.000000, 3.000000, 3.986301, 0.203658
4, 6.000000, 4.000000, 4.513514, 0.529752
5, 6.000000, 4.000000, 4.767123, 0.589740
6, 6.000000, 4.000000, 4.802632, 0.730657
7, 7.000000, 3.000000, 5.092105, 0.882083
8, 6.000000, 3.000000, 4.835443, 0.807503
9, 6.000000, 3.000000, 4.829268, 0.813541
10, 7.000000, 3.000000, 5.023529, 0.830612
11, 8.000000, 3.000000, 5.197674, 1.049591
12, 8.000000, 3.000000, 5.376344, 1.169485
13, 8.000000, 3.000000, 5.536842, 1.261631
14, 8.000000, 3.000000, 6.000000, 1.295152
15, 9.000000, 3.000000, 5.939394, 1.243909
16, 10.000000, 3.000000, 5.979798, 1.309150
17, 10.000000, 4.000000, 6.161616, 1.353055
18, 10.000000, 4.000000, 6.340000, 1.401442
19, 10.000000, 4.000000, 6.450000, 1.395339
20, 10.000000, 4.000000, 6.420000, 1.334696
21, 10.000000, 4.000000, 6.660000, 1.249000
22, 10.000000, 4.000000, 6.860000, 1.378185
23, 10.000000, 4.000000, 6.730000, 1.469247
24, 10.000000, 4.000000, 6.795918, 1.399257
25, 10.000000, 5.000000, 6.908163, 1.276971
26, 10.000000, 5.000000, 6.939394, 1.284270
27, 10.000000, 5.000000, 7.090000, 1.386042
28, 10.000000, 5.000000, 7.200000, 1.279204
29, 10.000000, 5.000000, 7.250000, 1.297823
30, 10.000000, 5.000000, 7.300000, 1.314257
31, 10.000000, 5.000000, 7.430000, 1.273308
32, 10.000000, 5.000000, 7.580000, 1.349747
33, 10.000000, 5.000000, 7.602041, 1.382809
34, 10.000000, 5.000000, 7.830000, 1.326155
35, 10.000000, 5.000000, 7.740000, 1.307477
36, 10.000000, 5.000000, 7.920000, 1.276675
37, 10.000000, 5.000000, 8.050505, 1.248458
38, 10.000000, 6.000000, 8.230000, 1.179411
39, 10.000000, 6.000000, 8.330000, 1.110601
40, 10.000000, 6.000000, 8.350000, 1.192358
41, 10.000000, 6.000000, 8.560000, 1.200337
42, 10.000000, 6.000000, 8.610000, 1.171160
43, 10.000000, 6.000000, 8.867347, 1.090141
44, 10.000000, 6.000000, 8.828283, 1.106939
45, 10.000000, 6.000000, 8.979798, 1.049585
46, 10.000000, 6.000000, 8.980000, 1.091565
47, 10.000000, 6.000000, 9.060000, 1.080778
48, 10.000000, 6.000000, 9.110000, 0.983654
