epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 4.000000, 4.011561, 0.107208
2, 6.000000, 4.000000, 5.072289, 0.303762
3, 6.000000, 4.000000, 4.291667, 0.487520
4, 6.000000, 4.000000, 4.569444, 0.552240
5, 6.000000, 4.000000, 4.347222, 0.507957
6, 6.000000, 4.000000, 4.402778, 0.521637
7, 6.000000, 4.000000, 4.430556, 0.552240
8, 6.000000, 4.000000, 4.430556, 0.526118
9, 6.000000, 4.000000, 4.402778, 0.547973
10, 6.000000, 4.000000, 4.319444, 0.498629
11, 6.000000, 4.000000, 4.319444, 0.498629
12, 6.000000, 4.000000, 4.416667, 0.550288
13, 6.000000, 4.000000, 4.347222, 0.534967
14, 6.000000, 4.000000, 4.972222, 0.918851
15, 7.000000, 4.000000, 4.616438, 0.775137
16, 6.000000, 4.000000, 4.630137, 0.790690
17, 7.000000, 4.000000, 4.616438, 0.810181
18, 6.000000, 4.000000, 4.611111, 0.779230
19, 6.000000, 4.000000, 4.597222, 0.744174
20, 6.000000, 4.000000, 4.736111, 0.787098
21, 6.000000, 4.000000, 4.534247, 0.728053
22, 7.000000, 4.000000, 4.708333, 0.846492
23, 8.000000, 4.000000, 5.337838, 1.337315
24, 8.000000, 4.000000, 5.180556, 1.104745
25, 8.000000, 4.000000, 4.905405, 1.087525
26, 7.000000, 4.000000, 5.337838, 1.138095
27, 7.000000, 4.000000, 4.958904, 1.135762
28, 7.000000, 4.000000, 5.351351, 1.151918
29, 7.000000, 4.000000, 5.097222, 1.050281
30, 8.000000, 4.000000, 5.337838, 1.241707
31, 8.000000, 4.000000, 5.301370, 1.265843
32, 8.000000, 4.000000, 5.533333, 1.069647
33, 8.000000, 4.000000, 5.333333, 1.211804
34, 8.000000, 4.000000, 5.597222, 1.083288
