epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 10.000000, 0.000000, 0.423892, 1.631456
2, 10.000000, 0.000000, 2.690763, 2.111899
3, 16.666667, 0.000000, 3.148148, 4.182417
4, 20.000000, 0.000000, 4.351852, 4.601112
5, 20.000000, 0.000000, 6.481481, 4.808993
6, 20.000000, 0.000000, 6.805556, 5.932260
7, 20.000000, 0.000000, 6.620370, 6.166522
8, 23.333333, 0.000000, 7.500000, 8.236527
9, 23.333333, 0.000000, 9.583333, 8.844642
10, 23.333333, 0.000000, 10.648148, 8.732486
11, 23.333333, 0.000000, 10.046296, 8.819048
12, 23.333333, 0.000000, 8.194444, 8.755727
13, 23.333333, 0.000000, 12.129630, 9.366567
14, 23.333333, 0.000000, 8.240741, 8.409925
15, 26.666667, 0.000000, 9.223744, 9.852626
16, 36.666667, 0.000000, 11.095890, 10.123539
17, 26.666667, 0.000000, 9.726027, 9.965270
18, 33.333333, 0.000000, 9.861111, 10.169726
19, 26.666667, 0.000000, 9.074074, 7.994956
20, 30.000000, 0.000000, 8.657407, 9.652162
21, 33.333333, 0.000000, 8.767123, 9.534001
22, 36.666667, 0.000000, 9.768519, 10.090768
23, 33.333333, 0.000000, 8.963964, 8.599417
24, 30.000000, 0.000000, 8.148148, 10.359559
25, 30.000000, 0.000000, 8.873874, 9.335242
26, 30.000000, 0.000000, 6.756757, 9.395309
27, 30.000000, 0.000000, 10.684932, 11.026888
28, 30.000000, 0.000000, 6.801802, 7.452318
29, 33.333333, 0.000000, 9.490741, 10.265028
30, 36.666667, 0.000000, 9.864865, 9.531478
31, 30.000000, 0.000000, 7.625571, 8.323688
32, 30.000000, 0.000000, 6.755556, 7.940721
33, 33.333333, 0.000000, 9.511111, 8.232604
34, 33.333333, 0.000000, 8.888889, 8.968734
