epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4.000000, 3.000000, 3.011628, 0.107517
2, 5.000000, 3.000000, 3.452055, 0.553802
3, 4.000000, 3.000000, 3.041667, 0.201229
4, 4.000000, 3.000000, 3.055556, 0.230669
5, 5.000000, 3.000000, 3.640000, 0.560887
6, 6.000000, 3.000000, 3.702703, 0.823120
7, 6.000000, 3.000000, 4.105263, 1.078010
8, 6.000000, 3.000000, 4.552632, 1.063262
9, 7.000000, 3.000000, 4.619048, 1.028565
10, 7.000000, 3.000000, 4.738095, 1.193547
11, 7.000000, 3.000000, 5.151163, 1.057382
12, 7.000000, 3.000000, 5.471910, 1.225579
13, 8.000000, 3.000000, 5.738636, 1.317384
14, 9.000000, 3.000000, 5.956989, 1.309779
15, 9.000000, 3.000000, 6.322581, 1.415453
16, 9.000000, 4.000000, 6.550000, 1.366075
17, 9.000000, 4.000000, 6.857143, 1.443078
18, 9.000000, 4.000000, 7.110000, 1.384583
19, 9.000000, 4.000000, 7.150000, 1.395339
