epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 18.000000, 0.000000, 1.003876, 2.775084
2, 14.000000, 0.000000, 3.123288, 3.428055
3, 18.000000, 0.000000, 6.101852, 5.211832
4, 18.000000, 0.000000, 8.509259, 5.466063
5, 21.333333, 0.000000, 9.111111, 5.405295
6, 26.666667, 0.000000, 9.117117, 6.390735
7, 34.666667, 0.000000, 9.622807, 7.407172
8, 30.000000, 0.000000, 9.587719, 6.416615
9, 35.333333, 0.000000, 11.873016, 11.008322
10, 35.333333, 0.000000, 14.603175, 11.042873
11, 35.333333, 0.000000, 14.356589, 11.157200
12, 42.000000, 0.000000, 15.632959, 12.268878
13, 44.000000, 0.000000, 19.318182, 11.972714
14, 36.000000, 0.000000, 17.913978, 11.649149
15, 36.666667, 0.000000, 18.186380, 11.522448
16, 38.000000, 0.000000, 20.580000, 10.982551
17, 38.666667, 0.000000, 20.904762, 10.194107
18, 36.666667, 0.000000, 21.773333, 10.434433
19, 38.000000, 0.000000, 23.873333, 10.042198
