epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 2452.000000, 127.000000, 466.761628, 282.564646
2, 662.000000, 139.000000, 355.986301, 107.035365
3, 646.000000, 189.000000, 358.146667, 126.583131
4, 741.000000, 117.000000, 374.076923, 132.125950
5, 705.000000, 161.000000, 393.459459, 141.774680
6, 918.000000, 148.000000, 427.223684, 155.299590
7, 693.000000, 158.000000, 401.918605, 129.624999
8, 779.000000, 165.000000, 438.326531, 140.853055
9, 748.000000, 129.000000, 326.350000, 101.806350
10, 504.000000, 119.000000, 281.940000, 86.886995
11, 456.000000, 110.000000, 275.880000, 91.093833
12, 478.000000, 143.000000, 283.450000, 88.500799
13, 632.000000, 123.000000, 292.907216, 101.925022
14, 517.000000, 108.000000, 284.232323, 95.369617
15, 476.000000, 105.000000, 286.310000, 92.276888
16, 689.000000, 99.000000, 312.800000, 124.553911
17, 561.000000, 87.000000, 297.080000, 107.152368
