epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 4.000000, 4.029070, 0.168493
2, 6.000000, 4.000000, 4.534247, 0.529208
3, 6.000000, 4.000000, 4.600000, 0.592749
4, 6.000000, 4.000000, 4.576923, 0.614103
5, 7.000000, 4.000000, 5.054054, 0.842239
6, 7.000000, 4.000000, 5.289474, 1.030415
7, 8.000000, 4.000000, 5.465116, 1.195065
8, 9.000000, 4.000000, 5.765306, 1.314479
9, 9.000000, 4.000000, 5.800000, 1.348400
10, 9.000000, 4.000000, 5.620000, 1.161504
11, 8.000000, 4.000000, 5.530000, 0.979126
12, 8.000000, 4.000000, 5.560000, 1.131014
13, 9.000000, 4.000000, 5.752577, 1.136799
14, 9.000000, 4.000000, 5.949495, 1.082078
15, 9.000000, 4.000000, 5.900000, 1.150318
16, 9.000000, 4.000000, 5.970000, 1.226434
17, 9.000000, 4.000000, 6.230000, 1.278059
