epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 3.333333, 0.000000, 0.057471, 0.435151
2, 3.333333, 0.000000, 0.045045, 0.387492
3, 3.333333, 0.000000, 0.228311, 0.847794
4, 6.666667, 0.000000, 0.925926, 1.604202
5, 6.666667, 0.000000, 1.255411, 1.713292
6, 6.666667, 0.000000, 1.428571, 1.886024
7, 6.666667, 0.000000, 2.100457, 2.324510
8, 10.000000, 0.000000, 1.324201, 2.132908
9, 6.666667, 0.000000, 1.422222, 2.063070
10, 16.666667, 0.000000, 2.938596, 4.250215
11, 13.333333, 0.000000, 2.061404, 3.484021
12, 16.666667, 0.000000, 3.815789, 4.704732
13, 16.666667, 0.000000, 4.658120, 5.020585
14, 16.666667, 0.000000, 6.580087, 5.947480
15, 20.000000, 0.000000, 5.670996, 6.535216
16, 16.666667, 0.000000, 5.085470, 6.023627
17, 23.333333, 0.000000, 4.935065, 6.457472
18, 23.333333, 0.000000, 4.298246, 6.595527
19, 20.000000, 0.000000, 6.271930, 6.393680
20, 26.666667, 0.000000, 6.190476, 6.790824
21, 20.000000, 0.000000, 5.644444, 6.390057
22, 26.666667, 0.000000, 7.422222, 7.424764
23, 26.666667, 0.000000, 5.745614, 6.983551
24, 30.000000, 0.000000, 7.863248, 7.345805
25, 30.000000, 0.000000, 7.927928, 7.951579
26, 26.666667, 0.000000, 7.377778, 7.870829
27, 26.666667, 0.000000, 7.066667, 8.127365
28, 20.000000, 0.000000, 6.403509, 6.128577
29, 26.666667, 0.000000, 7.500000, 7.505553
30, 20.000000, 0.000000, 7.155556, 6.659756
31, 33.333333, 0.000000, 6.929825, 8.688232
32, 23.333333, 0.000000, 6.666667, 7.422866
33, 20.000000, 0.000000, 9.166667, 6.624869
34, 33.333333, 0.000000, 6.271930, 7.281984
35, 26.666667, 0.000000, 9.200000, 7.843055
36, 33.333333, 0.000000, 7.644444, 8.123915
37, 26.666667, 0.000000, 7.649573, 7.006675
38, 30.000000, 0.000000, 7.735043, 8.031209
39, 30.000000, 0.000000, 7.791667, 7.703064
40, 26.666667, 0.000000, 8.292683, 6.854232
41, 30.000000, 0.000000, 7.695473, 7.004799
42, 23.333333, 0.000000, 8.765432, 7.040448
43, 36.666667, 0.000000, 8.495935, 8.066127
44, 33.333333, 0.000000, 8.875502, 7.761295
45, 23.333333, 0.000000, 8.416667, 7.035674
46, 23.333333, 0.000000, 8.955823, 6.845720
47, 20.000000, 0.000000, 8.730159, 6.583919
48, 23.333333, 0.000000, 8.214286, 6.430484
49, 20.000000, 0.000000, 8.467433, 6.525731
50, 36.666667, 0.000000, 10.256410, 8.624266
51, 36.666667, 0.000000, 9.431818, 7.651769
52, 26.666667, 0.000000, 9.031008, 6.321791
53, 36.666667, 0.000000, 8.821138, 7.863233
54, 23.333333, 0.000000, 7.619048, 5.935202
55, 20.000000, 0.000000, 7.364341, 6.570210
56, 20.000000, 0.000000, 9.386973, 6.319011
57, 36.666667, 0.000000, 9.728682, 7.690332
