epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4.000000, 3.000000, 3.011494, 0.106901
2, 4.000000, 3.000000, 3.054054, 0.227668
3, 4.000000, 3.000000, 3.013699, 0.117041
4, 4.000000, 3.000000, 3.097222, 0.298339
5, 5.000000, 3.000000, 3.987013, 0.256161
6, 5.000000, 3.000000, 3.845238, 0.570226
7, 6.000000, 3.000000, 4.356164, 0.694619
8, 7.000000, 3.000000, 4.657534, 1.082938
9, 7.000000, 3.000000, 4.906667, 1.210018
10, 7.000000, 4.000000, 4.394737, 0.801315
11, 7.000000, 4.000000, 4.907895, 1.022124
12, 7.000000, 4.000000, 4.776316, 0.917950
13, 7.000000, 4.000000, 5.358974, 1.227122
14, 8.000000, 4.000000, 5.246753, 0.961849
15, 8.000000, 4.000000, 5.194805, 1.076531
16, 9.000000, 4.000000, 5.448718, 1.335309
17, 8.000000, 4.000000, 5.129870, 1.173733
18, 8.000000, 4.000000, 5.421053, 1.349204
19, 8.000000, 4.000000, 5.289474, 1.140945
20, 8.000000, 4.000000, 5.506494, 1.314127
21, 8.000000, 4.000000, 5.200000, 1.039750
22, 9.000000, 4.000000, 5.333333, 1.233905
23, 9.000000, 4.000000, 5.657895, 1.332192
24, 8.000000, 4.000000, 5.423077, 1.167962
25, 8.000000, 4.000000, 5.635135, 1.410084
26, 9.000000, 4.000000, 5.333333, 1.244809
27, 8.000000, 4.000000, 5.506667, 1.427276
28, 9.000000, 4.000000, 5.618421, 1.243298
29, 8.000000, 4.000000, 5.197368, 1.326848
30, 8.000000, 4.000000, 5.440000, 1.199549
31, 8.000000, 4.000000, 5.328947, 1.268996
32, 9.000000, 4.000000, 5.702703, 1.468666
33, 8.000000, 4.000000, 5.276316, 1.138405
34, 9.000000, 4.000000, 5.684211, 1.378023
35, 8.000000, 4.000000, 5.386667, 1.089177
36, 8.000000, 4.000000, 5.720000, 1.310663
37, 9.000000, 4.000000, 5.692308, 1.292412
38, 9.000000, 4.000000, 5.628205, 1.259860
39, 8.000000, 4.000000, 5.962500, 1.226746
40, 8.000000, 4.000000, 5.621951, 1.213507
41, 8.000000, 4.000000, 5.938272, 1.287883
42, 8.000000, 4.000000, 5.901235, 1.319137
43, 8.000000, 4.000000, 6.073171, 1.119750
44, 9.000000, 4.000000, 6.168675, 1.359872
45, 8.000000, 4.000000, 5.925000, 1.366646
46, 8.000000, 4.000000, 6.289157, 1.244795
47, 9.000000, 4.000000, 6.214286, 1.299411
48, 9.000000, 4.000000, 6.380952, 1.307115
49, 9.000000, 4.000000, 6.712644, 1.396907
50, 9.000000, 4.000000, 6.714286, 1.302013
51, 10.000000, 4.000000, 6.659091, 1.388676
52, 10.000000, 4.000000, 6.662791, 1.427548
53, 10.000000, 4.000000, 6.756098, 1.536076
54, 10.000000, 4.000000, 6.583333, 1.381533
55, 10.000000, 4.000000, 6.883721, 1.417692
56, 9.000000, 4.000000, 6.701149, 1.556046
57, 10.000000, 4.000000, 7.116279, 1.544772
